format,count,label
http://edamontology.org/format_3262,1,OWL/XML
http://edamontology.org/format_3285,1,MAP
http://edamontology.org/format_3311,1,RNAML
http://edamontology.org/format_3313,1,BLC
http://edamontology.org/format_3326,1,Data index format
http://edamontology.org/format_3327,16,BAI
http://edamontology.org/format_3329,1,HMMER3
http://edamontology.org/format_3331,3,BLAST XML results format
http://edamontology.org/format_3462,3,CRAM
http://edamontology.org/format_3464,119,JSON
http://edamontology.org/format_3466,20,EPS
http://edamontology.org/format_3467,11,GIF
http://edamontology.org/format_3468,21,xls
http://edamontology.org/format_3475,364,TSV
http://edamontology.org/format_3477,4,Cytoscape input file format
http://edamontology.org/format_3506,1,docx
http://edamontology.org/format_3508,133,PDF
http://edamontology.org/format_3547,400,Image format
http://edamontology.org/format_3548,5,DICOM format
http://edamontology.org/format_3549,2,nii
http://edamontology.org/format_3550,2,mhd
http://edamontology.org/format_3551,3,nrrd
http://edamontology.org/format_3554,1,R file format
http://edamontology.org/format_3556,4,MHTML
http://edamontology.org/format_3579,32,JPG
http://edamontology.org/format_3583,3,bedgraph
http://edamontology.org/format_3590,5,HDF5
http://edamontology.org/format_3591,13,TIFF
http://edamontology.org/format_3592,7,BMP
http://edamontology.org/format_3603,111,PNG
http://edamontology.org/format_3604,57,SVG
http://edamontology.org/format_3617,26,Graph format
http://edamontology.org/format_3619,7,sif
http://edamontology.org/format_3620,30,xlsx
http://edamontology.org/format_3621,17,SQLite format
http://edamontology.org/format_3650,9,netCDF
http://edamontology.org/format_3651,23,MGF
http://edamontology.org/format_3652,13,dta
http://edamontology.org/format_3653,5,pkl
http://edamontology.org/format_3654,16,mzXML
http://edamontology.org/format_3655,16,pepXML
http://edamontology.org/format_3665,3,K-mer countgraph
http://edamontology.org/format_3681,11,mzTab
http://edamontology.org/format_3682,2,imzML metadata file
http://edamontology.org/format_3683,3,qcML
http://edamontology.org/format_3684,5,PRIDE XML
http://edamontology.org/format_3685,1,SED-ML
http://edamontology.org/format_3686,1,COMBINE OMEX
http://edamontology.org/format_3687,1,ISA-TAB
http://edamontology.org/format_3692,1,SBGN-ML
http://edamontology.org/format_3693,2,AGP
http://edamontology.org/format_3696,3,PS
http://edamontology.org/format_3698,1,SRA format
http://edamontology.org/format_3702,1,MSF
http://edamontology.org/format_3706,4,Biodiversity data format
http://edamontology.org/format_3709,1,GCT/Res format
http://edamontology.org/format_3711,5,X!Tandem XML
http://edamontology.org/format_3712,1,Thermo RAW
http://edamontology.org/format_3713,2,Mascot .dat file
http://edamontology.org/format_3747,5,protXML
http://edamontology.org/format_3749,2,JSON-LD
http://edamontology.org/format_3750,12,YAML
http://edamontology.org/format_3751,7,DSV
http://edamontology.org/format_3752,133,CSV
http://edamontology.org/format_3758,1,SEQUEST .out file
http://edamontology.org/format_3764,5,idXML
http://edamontology.org/format_3765,2,KNIME datatable format
http://edamontology.org/format_3773,1,BioYAML
http://edamontology.org/format_3774,1,BioJSON (Jalview)
http://edamontology.org/format_3780,3,Annotated text format
http://edamontology.org/format_3784,1,Open Annotation format
http://edamontology.org/format_3788,3,SQL
http://edamontology.org/format_3814,2,SDF
http://edamontology.org/format_3816,2,Mol2
http://edamontology.org/format_3822,3,GML
http://edamontology.org/format_3825,1,nmrML
http://edamontology.org/format_3827,6,proBED
http://edamontology.org/format_3830,1,ARB
http://edamontology.org/format_3833,1,featureXML
http://edamontology.org/format_3834,2,mzData
http://edamontology.org/format_3835,4,TIDE TXT
http://edamontology.org/format_3836,1,BLAST XML v2 results format
http://edamontology.org/format_3839,1,ibd
http://edamontology.org/format_3857,1,CWL
http://edamontology.org/format_3864,1,mirGFF3
http://edamontology.org/format_3866,1,Trajectory format
http://edamontology.org/format_3875,2,XTC
http://edamontology.org/format_3876,2,TNG
http://edamontology.org/format_3877,2,XYZ
http://edamontology.org/format_3878,6,mdcrd
http://edamontology.org/format_3880,6,GROMACS top
http://edamontology.org/format_3881,4,AMBER top
http://edamontology.org/format_3883,7,GROMACS itp
http://edamontology.org/format_3885,2,BinPos
http://edamontology.org/format_3887,1,CHARMM rtf
http://edamontology.org/format_3910,6,trr
http://edamontology.org/format_3956,2,N-Quads
http://edamontology.org/format_3975,2,GFA 1
http://edamontology.org/format_3976,3,GFA 2
http://edamontology.org/format_3977,1,ObjTables
http://edamontology.org/format_3981,2,TAR format
http://edamontology.org/format_3987,1,ZIP format
http://edamontology.org/format_3997,1,MPEG-4
http://edamontology.org/format_4002,3,pickle
http://edamontology.org/format_4003,1,NumPy format
